game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Nine Sols,5/1/2024,December 2025,,83.0,RedCandleGames,RedCandleGames,PC
Like A Dragon Gaiden: The Man Who Erased His Name,11/1/2023,December 2025,,79.0,SEGA,Ryu ga Gotoku Studio,PC
Streets Of Rage 4,4/1/2020,December 2025,,81.0,"Playdigious, DotEmu","Playdigious, DotEmu, Lizardcube, Guard Crush Games",PC
Lost Skies,2022-03-02,December 2025,,,,mjkoo,PC
Intravenous Ii,2024-08-15,December 2025,,,HypeTrain Digital,Explosive Squat Games,PC
Dungeon Tycoon,2019-07-04,December 2025,,,,Cytronix,PC
Beholder Conductor,2025-04-23,December 2025,,,Alawar,Alawar Entertainment,PC
Godlike Burger,4/20/2022,December 2025,,,Daedalic Entertainment,Liquid Pug,PC
Total War: Warhammer Iii,2/1/2022,November 2025,,88.0,"SEGA, Feral Interactive",Creative Assembly,PC
Another Crab'S Treasure,4/1/2024,November 2025,,79.0,Aggro Crab,Aggro Crab,PC
No More Heroes 3,2021-08-27,November 2025,,74,"XSEED Games, Marvelous USA, Marvelous, GRASSHOPPER MANUFACTURE",Grasshopper Manufacture,PC
Etrian Odyssey Hd,2023-05-31,November 2025,,,SEGA,Atlus,PC
Pharaoh: A New Era,2023-02-15,November 2025,,,DotEmu,"Triskell Interactive, Triskell Interactice",PC
Synergy,2017-07-17,November 2025,,,,Ske,PC
Spin Hero,2024-10-07,November 2025,,,"Goblinz Studio, Maple Whispering, Goblinz Publishing",Sphere Studios,PC
Paleo Pines,2023-09-25,November 2025,,,"Modus Games, Maximum Entertainment",Italic Pig,PC
Atomic Heart,2/1/2023,October 2025,,72.0,Focus Entertainment,Mundfish,PC
V Rising,5/8/2024,October 2025,,83.0,Stunlock Studios,Stunlock Studios,PC
System Shock,2023-05-30,October 2025,,78,"Nightdive Studios, Night Dive Studios","Nightdive Studios, Night Dive Studios",PC
Story Of Seasons: Pioneers Of Olive Town,2021-09-15,October 2025,,,"XSEED Games, Marvelous USA, Marvelous",Marvelous,PC
Cryptmaster,2024-05-09,October 2025,,,Akupara Games,"Akupara Games, Paul Hart, Lee Williams",PC
Shogun Showdown,2023-06-27,October 2025,,,"Goblinz Publishing, Gamera Games",Roboatino,PC
Hotel Renovator,2023-03-07,October 2025,,,Focus Entertainment,Two Horizons,PC
Caravan Sandwitch,2024-09-11,October 2025,,,Dear Villagers,Studio Plane Toast,PC
Wwe 2K25,3/14/2025,September 2025,,80.0,2K Games,Visual Concepts,PC
Destiny 2: Legacy Collection (2025),2018-09-04,September 2025,,84,Activision Blizzard,Activision,PC
The Plucky Squire,9/17/2024,September 2025,,83.0,Devolver Digital,All Possible Futures,PC
Spellforce: Conquest Of Eo,2023-02-02,September 2025,,,THQ Nordic,Owned by Gravity,PC
Return To Monkey Island,9/1/2022,September 2025,,87.0,Devolver Digital,"Lucasfilm, Devolver, Terrible Toybox",PC
Eastern Exorcist,7/1/2021,September 2025,,73.0,bilibili,Wildfire Games,PC
"Warhammer 40,000: Speed Freeks",2024-08-06,September 2025,,,PLAION,Caged Element,PC
Grapple Dog,2022-02-10,September 2025,,,Joseph Gribbin,Joseph Gribbin,PC
Persona 5 Royal,2020-03-31,August 2025,,94,"SEGA, Atlus",Atlus,PC
Banishers: Ghost Of New Eden,2024-02-12,August 2025,,,Focus Entertainment,DON'T NOD,PC
My Time At Sandrock,11/1/2023,August 2025,,80.0,"Focus Entertainment, Pathea Games, PM Studios",Pathea Games,PC
Let'S School!,2023-07-26,August 2025,,,"Pathea Games, PM Studios",Pathea Games,PC
Lil Gator Game,4/1/2022,August 2025,,84.0,Playtonic Friends,MegaWobble,PC
Tiny Terry'S Turbo Trip,2024-05-30,August 2025,,,Super Rare Originals,snekflat,PC
Wildmender,2023-09-28,August 2025,,,Kwalee,Muse Games,PC
Warpips,4/29/2021,August 2025,,,Daedalic Entertainment,Skirmish Mode Games,PC
"Warhammer 40,000: Rogue Trader",9/1/2024,July 2025,,86.0,Owlcat Games,Owlcat Games,PC
Cat Quest Iii,2024-08-07,July 2025,,,Kepler Interactive,The Gentlebros,PC
