game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Grand Theft Auto III,10/27/2001,6/10/2025,,97,"Capcom, Rockstar Games, 1C-SoftClub, Buka Entertainment",DMA Design,PS5/PS4
God of War: Ragnarök,11/9/2022,1/21/2025,,94,"Sony Interactive Entertainment, PlayStation PC",SCE Santa Monica Studio,PS5/PS4
Celeste,1/25/2018,6/13/2022,,93,Matt Makes Games,"Matt Makes Games, Extremely OK Games, Noel",PS4
Blue Prince,4/10/2025,4/10/2025,,92,Raw Fury,Dogubomb,PS5
Undertale,8/15/2017,7/18/2023,,92,"8-4, Toby Fox","8-4, Toby Fox",PS4
Demon's Souls,11/12/2020,6/13/2022,,92,Sony Computer Entertainment,"FromSoftware, Sony Computer Entertainment",PS5
Uncharted 4: A Thief's End,5/1/2016,6/13/2022,,92,Sony Computer Entertainment,Naughty Dog,PS4
Crusader Kings III,9/1/2020,6/18/2024,,91,Paradox Interactive,Paradox Developement Studios,PS5
Bloodborne,9/1/2015,6/13/2022,,91,"Sony Computer Entertainment, Sony Interactive Entertainment",FromSoftware,PS4
Hollow Knight: Voidheart Edition,2/24/2017,6/13/2022,,91,Team Cherry,Team Cherry,PS4
Shadow of the Colossus,10/18/2005,6/13/2022,,91,,Sony Interactive Entertainment,PS4
The Last of Us: Part 2 Remastered,1/19/2024,9/26/2025,,90,Sony Interactive Entertainment,Naughty Dog,PS5
The Last of Us: Part I,1/19/2024,9/26/2024,,90,"Sony Computer Entertainment, PlayStation PC",Naughty Dog,PS5
Dave the Diver,6/28/2023,4/16/2024,,90,"Nexon, MINTROCKET",MINTROCKET,PS5/PS4
Melty Blood: Type Lumina,9/30/2021,7/18/2023,,90,Lasengle,"Tamsoft, FRENCH-BREAD, GameLoop, Type-Moon, Lasengle",PS4
Rayman Legends,8/29/2013,9/20/2022,,90,Ubisoft Entertainment,"Ubisoft, Ubisoft Montpellier",PS4
Tetris Effect: Connected,11/10/2020,6/13/2022,,90,Enhance,"Resonair, Monstars, Stage Games",PS4/PSVR
Dreams,2/14/2020,8/15/2023,,89,Sony Interactive Entertainment,Media Molecule,PS4
Paradise Killer,3/16/2022,4/18/2023,,89,Fellow Traveller,Kaizen Game Works,PS5/PS4
Final Fantasy VII: Remake Intergrade,6/10/2021,7/19/2022,,89,Square Enix,Square Enix,PS5/PS4
Dead Cells,5/10/2017,6/13/2022,,89,"Plug In Digital, Playdigious, Motion Twin","Plug In Digital, Playdigious, Motion Twin",PS5/PS4
Abiotic Factor,7/22/2025,7/22/2025,,88,PlayStack,Deep Field Games,PS5
Ratchet and Clank: Rift Apart,6/11/2021,5/16/2023,,88,"Sony Interactive Entertainment, PlayStation PC","Insomniac Games, Nixxes software",PS5
Dishonored 2,11/10/2016,5/16/2023,,88,Bethesda Softworks,"Bethesda Softworks, Arkane Studios",PS4
Rise of the Tomb Raider: 20 Year Celebration,10/11/2016,5/16/2023,,88,"Square Enix, Microsoft Studios, Crystal Dynamics","Crystal Dynamics, Eidos Montreal, Nixxes",PS4
Nioh,2/1/2017,6/13/2022,,88,"Sony Computer Entertainment, Koei Tecmo Games",Team NINJA,PS4
Battlefield 1,10/21/2016,4/15/2025,10/20/2025,88,Electronic Arts,"Electronic Arts, Electronic Arts DICE",PS4
Marvel's Spider-Man,9/7/2018,8/19/2025,,87,Sony Interactive Entertainment,Insomniac Games,PS5/PS4
Sword of the Sea,8/19/2025,8/19/2025,,87,Giant Squid,Giant Squid,PS5
Return to Monkey Island,8/1/2022,10/15/2024,,87,Devolver Digital,"Lucasfilm, Devolver, Terrible Toybox",PS5
Shadowrun: Dragonfall - Director's Cut,9/18/2014,12/19/2023,,87,"Paradox Interactive, Harebrained Holdings, Harebrained Schemes",Harebrained Schemes,PS5/PS4
Destiny 2: The Witch Queen,2/22/2022,8/15/2023,,87,Bungie,Bungie,PS5/PS4
DOOM: Eternal,3/20/2020,4/18/2023,,87,Bethesda Softworks,"Bethesda Softworks, id Software, Bethesda Game Studios, Panic Button, Virtuos, Nerve Software",PS5/PS4
Monster Boy and the Cursed Kingdom,12/4/2018,4/18/2023,,87,"FDG Entertainment, Co KG","FDG Entertainment GmbH & Co.KG, Game Atelier",PS5/PS4
Wolfenstein II: The New Colossus,10/27/2017,4/18/2023,,87,Bethesda Softworks,"Bethesda Softworks, id Software, Arkane Studios, Panic Button, Machine Games, Goodbye Kansas Games, Doctor Entertainment",PS4
UNCHARTED: Legacy of Thieves Collection,1/28/2022,3/21/2023,,87,"Sony Interactive Entertainment, PlayStation PC","Naughty Dog, Iron Galaxy Studios",PS5
Fallout 4,11/10/2015,6/13/2022,,87,Bethesda Softworks,Bethesda Game Studios,PS4
XCOM 2,2/1/2016,6/13/2022,,87,"2K Games, Feral Interactive","Feral Interactive, 2K, Firaxis",PS4
Silent Hill 2 (2024),10/8/2024,10/21/2025,,86,Konami,Bloober Team,PS5
Unicorn Overlord,3/8/2024,8/19/2025,,86,"SEGA, Atlus",VanillaWare,PS5/PS4
Cyberpunk 2077,12/10/2020,7/9/2025,,86,CD PROJEKT RED,"CD PROJEKT RED, CD PROJEKT",PS5/PS4
Prince of Persia: The Lost Crown,1/18/2024,3/18/2025,,86,Ubisoft Entertainment,,PS5/PS4
Bang-On Balls: Chronicles,10/5/2023,3/18/2025,,86,"Untold Tales, Exit Plan Games",Exit Plan Games,PS5/PS4
Humanity,5/16/2023,5/16/2023,,86,"Enhance, Enhance Games","Enhance Games, tha",PS5/PS4
Returnal,4/30/2021,6/13/2022,,86,"Sony Interactive Entertainment, PlayStation PC","Housemarque, Climax Studios",PS5
Marvel's Spider-Man: Miles Morales,11/12/2020,6/13/2022,,86,"Sony Interactive Entertainment, PlayStation PC",Insomniac Games,PS5/PS4
Desperados III,6/16/2020,6/13/2022,,86,THQ Nordic,Mimimi Productions,PS4
DOOM (2016),5/1/2016,6/13/2022,,86,Bethesda Softworks,"Bethesda Softworks, id Software, Panic Button, Tango Gameworks, Escalation Studios, Certain Affinity, Digital Domain, BattleCry Studios",PS4
UNCHARTED: The Lost Legacy,8/1/2017,6/13/2022,,86,Sony Computer Entertainment,Naughty Dog,PS4
Risk of Rain 2,8/11/2020,7/15/2025,,85,Gearbox Publishing,Hopoo Games,PS5/PS4
A Space for the Unbound,1/19/2023,12/17/2024,,85,Toge Productions,Mojiken,PS5/PS4
Far Cry 4,11/18/2014,6/18/2024,,85,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",PS4
Shadow Tactics: Blades of the Shogun,12/6/2016,1/16/2024,,85,Daedalic Entertainment,"Daedalic Entertainment, Mimimi Productions",PS4
Teenage Mutant Ninja Turtles: Shredder's Revenge,6/16/2022,6/20/2023,,85,"DotEmu, Gamera Games",Tribute Games,PS5/PS4
Tomb Raider: Definitive Edition,1/28/2014,5/16/2023,,85,"Square Enix, Feral Interactive","Feral Interactive, Square Enix, NVIDIA Lightspeed Studios, Crystal Dynamics",PS4
The Forgotten City,7/28/2021,2/21/2023,,85,"Dear Villagers, Modern Storyteller",Modern Storyteller,PS5/PS4
Ys VIII: Lacrimosa of DANA,7/21/2016,11/15/2022,,85,NIS America,"NIS America, Nihon Falcom",PS5/PS4
Control: Ultimate Edition,8/27/2020,6/13/2022,,85,505 Games,Remedy Entertainment,PS5/PS4
Ghost of Tsushima: Director's Cut,8/20/2021,6/13/2022,,85,Sony Interactive Entertainment,Sucker Punch Productions,PS5/PS4
Frostpunk,4/1/2018,6/13/2022,,85,11 bit studios,11 Bit Studios,PS4
Mahjong,2/20/2017,6/13/2022,,85,"Bigben Interactive, Sanuk Games, Taranau Aliaksei, baKno Games, dtp young entertainment, The Solitaire, Mahjong and Sudoku Company","1C Wireless, Sanuk Games, Bigben Interactive, Taranau Aliaksei, baKno Games, CanaryDroid, Magic Puzzle, Banana & Co., Poker Power, Noodle Games, Mahjong Solitaire Fun, Solitaire Card Games, Mahjong, Fun Games free, Solitaire, Mahjong and Sudoku Company",PS4
Resogun,11/1/2013,6/13/2022,,85,Sony Computer Entertainment,"Sony Interactive Entertainment, Housemarque, Climax Group, XDev Studio Europe",PS4
Ys VIII: Lacrimosa of DANA,7/21/2016,6/13/2022,,85,NIS America,"NIS America, Nihon Falcom",PS4
South Park: The Stick of Truth,3/1/2014,6/13/2022,,85,Ubisoft Entertainment,Obsidian Entertainment,PS4
Yakuza: Like a Dragon,11/10/2020,10/21/2025,,84,SEGA,"SEGA, Ryu ga Gotoku Studio",PS5/PS4
Crow Country,5/9/2024,9/16/2025,,84,SFB Games,SFB Games,PS5/PS4
Hogwarts Legacy,2/7/2023,4/15/2025,,84,"Warner Bros. Interactive, Wizarding World","Avalanche Software, Portkey Games",PS5/PS4
Sayonara Wild Hearts,9/19/2019,1/21/2025,,84,Annapurna Interactive,Simogo,PS4
Overcooked! All You Can Eat,11/12/2020,11/19/2024,,84,Team17 Digital,"Team17 Digital, Ghost Town Games",PS5/PS4
Football Manager 2024,11/6/2023,6/18/2024,,84,SEGA,Sports Interactive,PS5
Deus Ex: Mankind Divided,8/23/2016,6/20/2023,,84,"Square Enix, Feral Interactive",Eidos Montreal,PS4
Tearaway Unfolded,9/1/2015,6/13/2022,,84,Sony Interactive Entertainment,Media Molecule,PS4
Tom Clancy's The Division,3/8/2016,6/13/2022,,84,Ubisoft Entertainment,"Ubisoft, Massive Entertainment",PS4
V Rising,5/8/2024,10/21/2025,,83,Stunlock Studios,Stunlock Studios,PS5
Mortal Kombat 1,9/19/2023,8/19/2025,,83,Warner Bros. Interactive,"NetherRealm Studios, QLOC",PS5
S.T.A.L.K.E.R.: Legends of the Zone Trilogy,10/31/2024,5/20/2025,,83,GSC Game World,GSC Game World,PS5/PS4
Stick Fight: The Game,4/1/2021,11/19/2024,,83,Landfall,Landfall,PS4
Two Point Campus,8/9/2022,10/15/2024,,83,SEGA,Two Point Studios,PS5/PS4
GRIS,12/13/2018,10/15/2024,,83,Devolver Digital,Nomada Studio,PS5/PS4
Pathfinder: Wrath of the Righteous,9/2/2021,7/16/2024,,83,"META Publishing, Owlcat Games",Owlcat Games,PS5/PS4
Anno 1800,4/16/2019,6/18/2024,,83,Ubisoft Entertainment,Blue Byte,PS5
Sackboy: A Big Adventure,11/12/2020,4/18/2023,,83,PlayStation PC,Sumo Digital,PS5/PS4
Assassin's Creed Odyssey,10/2/2018,10/18/2022,,83,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Montpellier, Ubisoft Shanghai, Ubisoft Quebec, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Kiev",PS4
Assassin's Creed IV: Black Flag,10/29/2013,7/19/2022,,83,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",PS4
Chess Ultra,6/1/2017,6/13/2022,,83,Ripstone,Ripstone,PS4/PSVR
Children of Morta,9/3/2019,6/13/2022,,83,"11 bit studios, Dead Mage",Dead Mage,PS4
Cities: Skylines,3/10/2015,6/13/2022,,83,Paradox Interactive,Colossal Order,PS4
Towerfall Ascension,6/25/2013,6/13/2022,,83,Matt Makes Games,"Matt Makes Games, Matt Thorson",PS4
Child of Light,4/29/2014,6/13/2022,,83,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",PS4
Legendary Fishing,9/18/2018,6/13/2022,,83,Ubisoft Entertainment,Ubisoft,PS4
Coral Island,11/14/2023,8/19/2025,,82,Humble Games,Stairway Games,PS5
Gloomhaven: Mercenaries Edition,7/17/2019,5/20/2025,,82,Asmodee Digital,Flaming Fowl Studios,PS5/PS4
Citizen Sleeper,5/5/2022,1/21/2025,,82,Fellow Traveller,Jump Over The Age,PS5/PS4
Chivalry 2,6/8/2021,11/19/2024,,82,"Deep Silver, Tripwire Interactive, Tripwire Presents",Torn Banner Studios,PS5/PS4
Cult of the Lamb,8/11/2022,8/20/2024,,82,Devolver Digital,Massive Monster,PS5/PS4
Watch Dogs 2,11/15/2016,8/20/2024,,82,Ubisoft Entertainment,Ubisoft Montreal,PS4
Röki,7/23/2020,10/17/2023,,82,"CI Games, United Label",Polygon Treehouse,PS5/PS4
This War of Mine: Final Cut,5/10/2022,9/19/2023,,82,The Working Parts,The Working Parts,PS5
Two Point Hospital: Jumbo Edition,2/25/2020,8/15/2023,,82,"SEGA, GAMESDROP","Two Point Studios, GAMESDROP",PS4
Dishonored: Death of the Outsider,9/15/2017,5/16/2023,,82,Bethesda Softworks,"Bethesda Softworks, Arkane Studios",PS4
Tom Clancy's The Division 2,3/15/2019,11/15/2022,,82,Ubisoft Entertainment,"Ubisoft, Massive Entertainment",PS4
Death Stranding: Director's Cut,9/24/2021,6/13/2022,,82,"Sony Interactive Entertainment, 505 Games",Kojima Productions,PS5/PS4
Marvel's Guardians Of The Galaxy,10/26/2021,6/13/2022,,82,Square Enix,Eidos Montreal,PS5/PS4
Age of Wonders: Planetfall,8/6/2019,6/13/2022,,82,Paradox Interactive,"Triumph Studios, Paradox Interactive",PS4
Disgaea 5: Alliance of Vengeance,10/1/2015,6/13/2022,,82,,NIS America,PS4
The Last Guardian,12/1/2016,6/13/2022,,82,Sony Interactive Entertainment,"SIE Japan Studio, Team Ico",PS4
Warhammer Vermintide 2,3/8/2018,6/13/2022,,82,Fatshark,Fatshark,PS4
South Park: The Fractured But Whole,10/1/2017,6/13/2022,,82,Ubisoft Entertainment,Ubisoft San Francisco,PS4
Fate/Samurai Remnant,9/29/2023,9/16/2025,,81,Koei Tecmo Games,Omega Force,PS5/PS4
Atelier Ryza 3: Alchemist of the End & the Secret Key,3/24/2023,8/19/2025,,81,"Koei Tecmo Games, Tecmo Koei America",KOEI TECMO GAMES CO,PS5/PS4
Planet Zoo,11/5/2019,7/15/2025,,81,Frontier Developments,Frontier Developments,PS5
We Love Katamari Reroll + Royal Reverie,6/2/2023,6/17/2025,,81,Bandai Namco Entertainment,MONKEYCRAFT Co,PS5/PS4
Battlefield V,11/20/2018,5/20/2025,,81,Electronic Arts,"Electronic Arts, Electronic Arts DICE, Uprise",PS4
Granblue Fantasy Versus: Rising,12/14/2023,5/20/2025,,81,Cygames,"Arc System Works, Cygames",PS5/PS4
Syberia: The World Before,3/18/2022,3/18/2025,,81,Microids,"Microids, Koalabs",PS5/PS4
MORDHAU,4/29/2019,2/17/2025,,81,Triternion,Triternion,PS5/PS4
Like a Dragon: Ishin!,2/21/2023,11/19/2024,,81,SEGA,Ryu ga Gotoku Studio,PS5/PS4
Far Cry 5,3/27/2018,9/17/2024,,81,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Shanghai, Ubisoft Kiev, Red Storm",PS4
The Jackbox Party Pack 9,10/2/2022,7/16/2024,,81,Jackbox Games,Jackbox Games,PS5/PS4
Shadowrun: Hong Kong - Extended Edition,8/20/2015,12/19/2023,,81,Harebrained Holdings,Harebrained Schemes,PS5/PS4
FAR: Changing Tides,3/1/2022,10/17/2023,,81,Frontier Foundry,Okomotive,PS5/PS4
The Elder Scrolls V: Skyrim - Special Edition,11/11/2021,11/15/2022,,81,Bethesda Softworks,Bethesda Game Studios,PS5/PS4
Assassin's Creed Origins,10/27/2017,9/20/2022,,81,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",PS4
Observer: System Redux,11/10/2020,6/13/2022,,81,"Aspyr, Bloober Team","Bloober Team, Anshar Studios",PS5/PS4
Gravity Rush 2,1/1/2017,6/13/2022,,81,Sony Computer Entertainment,Sony Interactive Entertainment,PS4
Moonlighter,5/29/2018,6/13/2022,,81,11 bit studios,"11 Bit Studios, Digital Sun",PS4
Oddworld: New 'n' Tasty,7/22/2014,6/13/2022,,81,Oddworld Inhabitants,"Oddworld Inhabitants, Just Add Water, Nephilim Games",PS4
Wolfenstein: The New Order,5/20/2014,6/13/2022,,81,Bethesda Softworks,"Bethesda Softworks, Machine Games",PS4
WWE 2K25,3/14/2025,9/16/2025,,80,2K Games,Visual Concepts,PS5/PS4
Conscript,7/23/2024,9/16/2025,,80,"Team17 Digital, Catchweight Studio","Catchweight Studio, Jordan Mochi",PS5
INDIKA,5/2/2024,8/19/2025,,80,11 bit studios,Odd Meter,PS5
Five Nights at Freddy's: Help Wanted 2,5/28/2019,6/17/2025,,80,ScottGames,Steel Wool Studios,PS5
Five Nights at Freddy's: Help Wanted - Full Time Edition,5/28/2019,5/20/2025,,80,Steel Wool Games,Steel Wool Studios,PS5/PS4
Atlas Fallen: Reign Of Sand,8/6/2024,1/21/2025,,80,Focus Entertainment,"Deck 13, Deck13",PS5
DREDGE,3/30/2023,5/29/2024,,80,Team17 Digital,Black Salt Games,PS5
Watch Dogs,5/27/2014,5/21/2024,,80,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",PS4
Assassin's Creed Valhalla,11/10/2020,2/20/2024,,80,Ubisoft Entertainment,Ubisoft Montreal,PS5/PS4
LEGO City Undercover,3/18/2013,1/16/2024,,80,"Warner Bros. Interactive, Nintendo, TT Games","Traveller's Tales, TT Fusion",PS4
My Friend Peppa Pig,10/22/2021,6/20/2023,,80,Outright Games,Petoons Studio,PS5/PS4
Lonely Mountains: Downhill,10/23/2019,6/20/2023,,80,"Thunderful Publishing, Megagon Industries",Megagon Industries,PS4
Untitled Goose Game,9/1/2019,3/21/2023,,80,Panic,House House,PS5/PS4
The Pedestrian,1/29/2021,12/20/2022,,80,Skookum Arts,Skookum Arts,PS5/PS4
Oddworld: Soulstorm: Enhanced Edition,4/6/2021,11/15/2022,,80,Oddworld Inhabitants,Oddworld Inhabitants,PS5/PS4
Wheel of Fortune (2017),11/7/2017,8/16/2022,,80,,,PS4
Battle Chasers: Nightwar,10/3/2017,6/13/2022,,80,"THQ Nordic, Nordic Games, www.handy-games.com","THQ Nordic, Handy Games, Airship Syndicate",PS4
Detroit: Become Human,5/1/2018,6/13/2022,,80,"Sony Computer Entertainment, Quantic Dream",Quantic Dream,PS4
Harvest Moon: Light of Hope - Special Edition,11/14/2017,6/13/2022,,80,Natsume,"NATSUME, Tabot",PS4
Prey,5/5/2017,6/13/2022,,80,Bethesda Softworks,Arkane Studios,PS4
Prison Architect,10/6/2015,6/13/2022,,80,Introversion Software,"Double Eleven, Introversion Software",PS4
Stellaris,5/9/2016,6/13/2022,,80,Paradox Interactive,Paradox Development Studio,PS4
Trine 4: The Nightmare Prince,10/8/2019,6/13/2022,,80,"Frozenbyte, Modus Games",Frozenbyte,PS4
Valiant Hearts: The Great War,6/24/2014,6/13/2022,,80,Ubisoft Entertainment,Ubisoft Montpellier,PS4
Far Cry 3: Blood Dragon - Classic Edition,4/30/2013,6/13/2022,,80,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",PS4
Trials Rising,2/26/2019,6/13/2022,,80,Ubisoft Entertainment,"Ubisoft, Redlynx",PS4
Eiyuden Chronicle: Hundred Heroes,4/23/2024,6/17/2025,,79,505 Games,"Rabbit & Bear Studios, Rabbit and Bear Studios",PS5/PS4
Coffee Talk Episode 2: Hibiscus & Butterfly,4/20/2023,12/17/2024,,79,Toge Productions,Toge Productions,PS5/PS4
LEGO DC Super-Villains,6/19/2012,3/19/2024,,79,Warner Bros. Interactive,"Warner Bros. Interactive, Traveller's Tales, TT Games",PS4
Eldest Souls,7/29/2021,10/17/2023,,79,"CI Games, United Label","Fallen Flag Studio, Fallen Flag Studios",PS5/PS4
A Hat in Time,12/5/2017,6/20/2023,,79,"Humble Bundle, Gears for Breakfast","Humble Bundle, Gears for Breakfast",PS4
Alienation,4/1/2016,6/13/2022,,79,,Sony Interactive Entertainment,PS4
Everybody's Golf,8/29/2017,6/13/2022,,79,Sony Computer Entertainment,"Sony Interactive Entertainment, Clap Hanz",PS4
Little Nightmares,4/28/2017,6/13/2022,,79,"Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, Playdigious","BANDAI NAMCO Entertainment America, Playdigious, Tarsier Studios",PS4
Terraria,5/16/2011,6/13/2022,,79,"505 Games, Headup Games, Spike Chunsoft, Re-Logic","Engine Software, Codeglue, Pipeworks Studio, Re-Logic",PS4
Until Dawn,8/1/2015,6/13/2022,,79,"PlayStation PC, PlayStation Publishing",Ballistic Moon,PS4
Trials Fusion,4/15/2014,6/13/2022,,79,Ubisoft Entertainment,"Ubisoft, Ubisoft Shanghai, Redlynx",PS4
PlateUp!,8/4/2022,4/15/2025,,78.33333333,Yogscast Games,It's happening,PS5/PS4
Green Hell,9/5/2019,9/16/2025,,78,Creepy Jar,Creepy Jar,PS5/PS4
Banishers: Ghosts of New Eden,2/13/2024,7/15/2025,,78,Focus Entertainment,DON'T NOD,PS5
Tropico 6,3/29/2019,7/15/2025,,78,Kalypso Media,Limbic Entertainment,PS5/PS4
Another Crab's Treasure,4/25/2024,5/29/2025,,78,Aggro Crab,Aggro Crab,PS5
Like a Dragon Gaiden: The Man Who Erased His Name,11/9/2023,1/21/2025,,78,SEGA,Ryu ga Gotoku Studio,PS5/PS4
Jurassic World Evolution 2,11/9/2021,12/17/2024,,78,Frontier Developments,Frontier Developments,PS5/PS4
PHOGS!,12/3/2020,12/17/2024,,78,Coatsink,"Coatsink, Bit Loom Games",PS5/PS4
Killer Frequency,6/1/2023,11/19/2024,,78,"Team17 Digital, Fireshine Games",Team17 Digital,PS5/PS4
Construction Simulator,9/20/2022,4/16/2024,,78,"Astragon Entertainment, Excalibur Publishing","weltenbauer. Software Entwicklung, Astragon",PS5/PS4
Roguebook,6/17/2021,2/20/2024,,78,"Nacon, Abrakam","Abrakam, Abrakam Entertainment",PS5/PS4
Worms W.M.D,8/23/2016,12/20/2022,,78,Team17 Digital,Team17 Digital,PS4
Concrete Genie: Digital Deluxe Edition,10/8/2019,6/13/2022,,78,Sony Interactive Entertainment,Pixelopus,PS4/PSVR
11-11 Memories Retold,11/1/2018,6/13/2022,,78,"Bandai Namco Entertainment, BANDAI NAMCO Entertainment US","BANDAI NAMCO Entertainment America, Digixart, Aardman Animations",PS4
Bomber Crew,10/19/2017,6/13/2022,,78,Curve Digital,"Curve Digital, Runner Duck",PS4
Kingdom: New Lands,10/1/2015,6/13/2022,,78,Raw Fury,"Raw Fury, Noio, Licorice",PS4
Shadow Warrior 2,10/13/2016,6/13/2022,,78,Devolver Digital,"Devolver Digital, Flying Wild Hog",PS4
Sniper Elite 4,2/14/2017,6/13/2022,,78,Rebellion,Rebellion,PS4
The Long Dark,8/1/2017,6/13/2022,,78,Hinterland Studio,Hinterland Studio,PS4
Trackmania Turbo,3/22/2016,6/13/2022,,78,Ubisoft Entertainment,"Ubisoft, Nadeo",PS4
As Dusk Falls,7/19/2022,10/21/2025,,77,"Xbox Game Studios, Xbox Publishing Studio","INT./NIGHT, Night, INTERIOR NIGHT, INTERIOR",PS5/PS4
Humankind,8/17/2021,5/20/2025,,77,SEGA,Amplitude Studios,PS5/PS4
SaGa Frontier: Remastered,4/15/2021,2/17/2025,,77,Square Enix,"Square Enix, Bullets",PS4
Orcs Must Die! 3,7/23/2021,1/21/2025,,77,Robot Entertainment,Robot Entertainment,PS5/PS4
DEADCRAFT,5/19/2022,7/16/2024,,77,"XSEED Games, Marvelous USA, Marvelous",Marvelous,PS4
Elite: Dangerous,12/16/2014,10/17/2023,,77,Frontier Developments,Frontier Developments,PS4
Sniper Elite 5,3/26/2022,7/18/2023,,77,Rebellion,Rebellion,PS5/PS4
The Ascent,3/24/2022,7/18/2023,,77,Curve Digital,Neon Giant,PS5/PS4
Lake,4/8/2022,5/16/2023,,77,"Whitethorn Digital, Gamious",Gamious,PS5/PS4
Sakuna: Of Rice and Ruin,11/10/2020,5/16/2023,,77,"XSEED Games, Marvelous USA, Marvelous",Edelweiss,PS4
Immortals Fenyx Rising,12/3/2020,3/21/2023,,77,Ubisoft Entertainment,"Ubisoft, Ubisoft Quebec",PS5/PS4
Fury Unleashed,2/24/2017,6/13/2022,,77,"Awesome Games Studio, Awesome Games, Awesome Games Studio Sp",Awesome Games Studio,PS4
Hotshot Racing,9/10/2020,6/13/2022,,77,Curve Digital,"Sumo Digital, Lucky Mountain Games",PS4
Surviving Mars,3/15/2018,6/13/2022,,77,Paradox Interactive,"Haemimont Games, Paradox Interactive",PS4
EA Sports PGA Tour,4/4/2023,4/1/2025,,76,Electronic Arts,Electronic Arts Tiburon,PS5
Coffee Talk,1/29/2020,12/17/2024,,76,Toge Productions,Toge Productions,PS5/PS4
Cat Quest II: The Lupus Empire,9/24/2019,5/21/2024,,76,"PQube, The Gentlebros Pte","The Gentlebros, The Gentlebros.",PS4
Shadowrun Returns,7/25/2013,12/19/2023,,76,"Paradox Interactive, Harebrained Holdings, Harebrained Schemes",Harebrained Schemes,PS5/PS4
The Evil Within 2,3/28/2017,5/16/2023,,76,Bethesda Softworks,"Bethesda Softworks, Tango Gameworks",PS4
