game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
The Outer Worlds 2,10/1/2025,10/1/2025,,,Xbox Game Studios,Obsidian Entertainment,Xbox / PC
Evil West,11/1/2022,10/1/2025,,73,"Focus Home Interactive, Focus Entertainment",Flying Wild Hog,Xbox / PC
Ninja Gaiden 4,10/1/2025,10/1/2025,,,Xbox Game Studios,"Platinum Games, Koei Tecmo, Team NINJA",Xbox / PC
Keeper,10/1/2025,10/1/2025,,,,Terrarium,Xbox / PC
Pax Dei,10/1/2025,10/1/2025,,,"Mainframe Industries, New Tales",Mainframe Industries,PC
Ball x Pit,10/1/2025,10/1/2025,,,Devolver Digital,Kenny Sun,Xbox / PC
The Grinch: Christmas Adventures,10/1/2023,10/1/2025,,68,Outright Games,Casual Brothers,Xbox / PC
The Casting of Frank Stone,9/1/2024,10/1/2025,,68,Behaviour Interactive,Supermassive Games,Xbox / PC
Baldur's Gate and Baldur's Gate II: Enhanced Editions,10/1/2019,10/1/2025,,72,Skybound Games,Beamdog,PC
Little Rocket Lab,10/1/2025,10/1/2025,,83,No More Robots,Teenage Astronauts,Xbox / PC
Supermarket Simulator,6/1/2025,10/1/2025,,,Nokta Games,Nokta Games,Xbox / PC
Sopa: Tale of the Stolen Potato,10/1/2025,10/1/2025,,79,StudioBando,StudioBando,Xbox / PC
Hogwarts Legacy,2/1/2023,10/1/2025,,84,"Warner Bros. Interactive, Wizarding World","Avalanche Software, Portkey Games",Xbox / PC
Assassin's Creed II,11/1/2009,10/1/2025,,90,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed III: Remastered,3/1/2019,10/1/2025,,72,Ubisoft Entertainment,Ubisoft Montreal,Xbox / PC
Assassin's Creed IV Black Flag,10/1/2013,10/1/2025,,88,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",Xbox / PC
Assassin's Creed IV Black Flag: Freedom Cry,12/1/2013,10/1/2025,,71,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed Brotherhood,11/1/2010,10/1/2025,,89,Ubisoft Entertainment,Ubisoft Montreal,PC
Assassin's Creed Chronicles: China,4/1/2015,10/1/2025,,69,Ubisoft Entertainment,"Ubisoft, Climax Studios",Xbox / PC
Assassin's Creed Chronicles: India,1/1/2016,10/1/2025,,63,Ubisoft Entertainment,"Ubisoft, Climax Studios",Xbox / PC
Assassin's Creed Chronicles: Russia,2/1/2016,10/1/2025,,62,Ubisoft Entertainment,"Ubisoft, Climax Studios",Xbox / PC
Assassin's Creed Liberation HD,1/1/2014,10/1/2025,,62,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Milan, Ubisoft Sofia",PC
Assassin's Creed Revelations,11/1/2011,10/1/2025,,80,Ubisoft Entertainment,Ubisoft,PC
Assassin's Creed Rogue: Remastered,3/1/2018,10/1/2025,,71,,Ubisoft,Xbox / PC
Assassin's Creed Syndicate,10/1/2015,10/1/2025,,76,Ubisoft Entertainment,"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Singapore",Xbox / PC
Assassin's Creed: The Ezio Collection,11/1/2016,10/1/2025,,72,Ubisoft Entertainment,Ubisoft,Xbox
Assassin's Creed Unity,11/1/2014,10/1/2025,,72,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Montpellier",Xbox / PC
Child of Light,4/1/2014,10/1/2025,,82,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",Xbox / PC
Far Cry 3,12/1/2012,10/1/2025,,88,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",Xbox / PC
Far Cry 3: Blood Dragon,5/1/2013,10/1/2025,,80,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",Xbox / PC
Far Cry Primal,2/1/2016,10/1/2025,,76,Ubisoft Entertainment,Ubisoft,Xbox / PC
Hungry Shark World,7/1/2018,10/1/2025,,58,Ubisoft Entertainment,Ubisoft,Xbox / PC
Monopoly Madness,12/1/2022,10/1/2025,,,Ubisoft Entertainment,"Engine Software, Ubisoft",Xbox / PC
Monopoly (2024),9/1/2024,10/1/2025,,74,"Electronic Arts, Ubisoft Entertainment, Marmalade Game Studio","Ubisoft, Engine Software, Sperasoft, Marmalade Game Studio, Electronic Arts Bright Light",Xbox / PC
OddBallers,1/1/2023,10/1/2025,,71,"Ubisoft Entertainment, Game Swing",Game Swing,Xbox / PC
Prince of Persia: The Lost Crown,1/1/2024,10/1/2025,,86,Ubisoft Entertainment,,Xbox / PC
Rabbids Invasion: The Interactive TV Show,11/1/2014,10/1/2025,,53,Ubisoft Entertainment,Ubisoft,Xbox
Rabbids: Party of Legends,6/1/2022,10/1/2025,,69,Ubisoft Entertainment,Ubisoft Chengdu,Xbox / PC
Rayman Legends,9/1/2013,10/1/2025,,92,Ubisoft Entertainment,"Ubisoft, Ubisoft Montpellier",Xbox / PC
Risk: Urban Assault,8/1/2016,10/1/2025,,61,Ubisoft Entertainment,Ubisoft,Xbox
Scott Pilgrim vs. The World: The Game,1/1/2021,10/1/2025,,79,Ubisoft Entertainment,"Ubisoft Montreal, Ubisoft Chengdu",Xbox / PC
Skull and Bones,2/1/2024,10/1/2025,,59,Ubisoft Entertainment,Ubisoft Singapore,Xbox / PC
South Park: The Stick of Truth,3/1/2014,10/1/2025,,85,Ubisoft Entertainment,Obsidian Entertainment,Xbox / PC
Starlink: Battle for Atlas,10/1/2018,10/1/2025,,74,Ubisoft Entertainment,Ubisoft Toronto,Xbox / PC
