publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
11 bit studios,1091.0,1136.0,646.6753435843987,3,83.33333333333333,0.5927363369242884
2K Games,1506.0,1309.0,892.3882282952862,9,80.66666666666667,0.5925552644723017
4EversGames,917.0,917.0,,1,78.0,
505 Games,1408.7,990.5,1151.637293402552,10,82.6,0.8175177776691643
8-4,3206.0,3206.0,,1,85.0,
A List Games,98.0,98.0,,1,78.0,
AQUIRIS,1542.3333333333333,1676.0,358.69253314410287,3,78.0,0.23256485831690268
Abylight,1300.0,1300.0,94.75230867899737,2,84.0,0.07288639129153643
Activision Blizzard,1926.0,1926.0,,1,84.0,
Adult Swim Games,1186.0,1186.0,192.33304448274092,2,75.0,0.16216951474092825
Akupara Games,714.0,703.0,424.6104096698525,5,78.0,0.5946924505180007
Alawar Entertainment,2935.0,2935.0,,1,75.0,
All in! Games,965.6666666666666,1160.0,427.9793608730838,3,78.0,0.44319574822894425
Amanita Design,2882.3333333333335,2605.0,1742.630578560279,3,80.0,0.6045902319510624
Analgesic Productions,213.0,213.0,,1,78.0,
Annapurna Interactive,1525.5,1525.5,1269.2566722298527,2,87.5,0.8320266615731581
Another Indie,506.0,506.0,,1,78.0,
Arc Games,135.0,135.0,,1,78.0,
Arc System Works,2045.0,2045.0,,1,78.0,
Armor Games,1038.0,1038.0,,1,78.0,
Armor Games Studios,703.6666666666666,731.0,110.56370712549996,3,76.0,0.1571251167108005
Asmodee Digital,1655.0,1230.0,1285.782511417334,4,75.25,0.7769078618835855
Aspyr,1816.7142857142858,924.0,1998.0831409366422,7,75.42857142857143,1.0998334502285518
Astragon Entertainment,1748.6666666666667,1743.0,565.5212934393659,3,75.33333333333333,0.32340142590890153
Atari,141.5,141.5,20.506096654409877,2,78.0,0.1449194109852288
Auroch Digital,2049.0,2049.0,,1,78.0,
Batterystaple Games,2074.0,2074.0,,1,78.0,
Beam Team,2166.0,2166.0,,1,65.0,
Bedtime Digital Games,287.0,287.0,,1,78.0,
Bethesda Softworks,3934.0526315789475,3137.0,2884.6601277501613,19,79.63157894736842,0.7332540761134636
BlankMediaGames,328.0,328.0,,1,78.0,
Blobfish,793.0,793.0,,1,78.0,
Bloober Team,469.5,469.5,61.518289963229634,2,66.5,0.13102937159367334
Borealys Games,2264.0,2264.0,818.829652614022,2,75.0,0.361673874829515
Burgos Games,1994.0,1994.0,,1,78.0,
Butterscotch Shenanigans,1562.0,1562.0,,1,78.0,
CI Games,1750.0,1750.0,,1,57.0,
Cabbibo,2894.0,2894.0,,1,78.0,
Capybara Games,3416.0,3416.0,,1,78.0,
Choice Provisions,2076.0,2076.0,,1,61.0,
Chucklefish,434.0,434.0,,1,68.0,
Cococucumber,1047.0,1047.0,,1,78.0,
Codename Entertainment,2171.75,2292.5,622.2884513364094,4,78.0,0.2865377927185032
Crunching Koalas,1883.0,1883.0,,1,78.0,
Curve Digital,770.8,735.0,453.1012028233869,5,78.2,0.5878323856037714
Cyan Worlds,1787.0,1787.0,,1,76.0,
Daedalic Entertainment,1162.0,974.0,836.1722310624767,13,78.23076923076923,0.7195974449763138
Dear Villagers,1015.0,1015.0,,1,78.0,
Deep Silver,1971.5,1522.0,1715.0338189085367,12,75.83333333333333,0.8699131721575128
Defiant Development,1263.0,1263.0,,1,81.0,
Devolver Digital,812.1538461538462,772.0,527.2971720882899,13,80.76923076923077,0.6492577417264415
Digerati,1178.0,679.0,1053.2383395984025,3,76.66666666666667,0.8940902713059444
DotEmu,1913.0,1913.0,,1,78.0,
Double Damage Games,1732.0,1732.0,554.3717164502533,2,72.0,0.32007604875880674
Double Fine Productions,873.5,873.5,64.34671708797582,2,76.0,0.07366538876700152
Dovetail Games - TSW,343.0,343.0,,1,78.0,
DrinkBox Studios,2515.5,2515.5,1068.4383463728734,2,85.5,0.42474193853026176
E-Line Media,2094.0,2129.0,901.0697346302709,4,71.0,0.43031028396861076
EHTechnology,1866.0,1866.0,,1,78.0,
Electronic Arts,2235.3333333333335,2012.0,1661.1384650293305,9,78.22222222222223,0.7431278549191755
Eleon Game Studios,3354.0,3354.0,,1,78.0,
Erabit,210.0,210.0,,1,78.0,
Expansive Worlds,568.0,568.0,,1,78.0,
FLARB,839.0,839.0,,1,78.0,
Failbetter Games,2352.5,2352.5,198.69700551341987,2,84.0,0.08446206398019973
Fellow Traveller,2478.0,2478.0,,1,77.0,
Feral Interactive,2811.6666666666665,2648.0,1128.4371197959297,3,76.66666666666667,0.4013410028912613
Finji,1221.5,1221.5,259.50818869546293,2,83.0,0.2124504205447916
Flazm,1551.0,1551.0,,1,78.0,
Flight School Studio,567.0,567.0,,1,78.0,
Focus Home Interactive,1143.888888888889,815.0,782.0406710082993,9,74.77777777777777,0.6836683865055555
Free Range Games,1454.0,1454.0,,1,78.0,
Freedom Games,520.0,520.0,,1,78.0,
Frictional Games,2041.0,2047.0,1293.4081593474918,4,79.75,0.6337129639135188
Frontier Developments,1105.75,1080.0,766.5234830062286,4,76.75,0.6932159014300056
Frontier Foundry,294.0,294.0,,1,78.0,
Funcom,685.0,685.0,608.1118318204309,2,78.0,0.8877544990079284
Funselektor Labs,1185.0,1185.0,,1,78.0,
GBROSSOFT,450.0,450.0,,1,78.0,
