publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
11 bit studios,1091.0,1136.0,646.6753435843987,3,83.33333333333333,0.5927363369242884
2K Games,1627.909090909091,1309.0,957.5486885318631,11,81.0909090909091,0.5882077161920195
4EversGames,917.0,917.0,,1,78.0,0.5
505 Games,1731.25,1737.5,1260.4769788797073,8,82.375,0.728073345201275
8-4,3206.0,3206.0,,1,85.0,0.5
A List Games,98.0,98.0,,1,78.0,0.5
AQUIRIS,1815.0,1815.0,,1,78.0,0.5
Abylight,1367.0,1367.0,,1,84.0,0.5
Activision Blizzard,1926.0,1926.0,,1,84.0,0.5
Adriaan de Jongh,3103.0,3103.0,,1,78.0,0.5
Adult Swim Games,1186.0,1186.0,192.33304448274092,2,75.0,0.16216951474092825
Akupara Games,702.4285714285714,703.0,380.9951255781177,7,78.0,0.5423969654355957
Alawar Entertainment,2935.0,2935.0,,1,75.0,0.5
All in! Games,868.5,868.5,556.4930367938128,2,78.0,0.6407519134068081
Amanita Design,3903.1428571428573,3516.0,2128.205302484657,7,80.14285714285714,0.5452542682597393
Analgesic Productions,213.0,213.0,,1,78.0,0.5
Annapurna Interactive,1525.5,1525.5,1269.2566722298527,2,87.5,0.8320266615731581
Another Indie,506.0,506.0,,1,78.0,0.5
Arc Games,135.0,135.0,,1,78.0,0.5
Arc System Works,2045.0,2045.0,,1,78.0,0.5
Armor Games,1038.0,1038.0,,1,78.0,0.5
Armor Games Studios,637.5,656.5,160.19259242133097,4,76.5,0.2512824979158133
Asmodee Digital,1655.0,1230.0,1285.782511417334,4,75.25,0.7769078618835855
Aspyr,2119.5,1135.0,2005.1678982070305,6,76.0,0.9460570409091911
Astragon Entertainment,1751.5,1751.5,799.7377695219852,2,76.0,0.4566016383225722
Atari,141.5,141.5,20.506096654409877,2,78.0,0.1449194109852288
Auroch Digital,2049.0,2049.0,,1,78.0,0.5
AutoAttack Games,1392.0,1392.0,,1,78.0,0.5
Batterystaple Games,2074.0,2074.0,,1,78.0,0.5
Beam Team,2166.0,2166.0,,1,65.0,0.5
Bedtime Digital Games,574.5,574.5,406.5863991822648,2,76.0,0.7077221917881024
Bethesda Softworks,4130.875,3215.5,3035.212411567489,16,79.5,0.7347625894193093
BlankMediaGames,328.0,328.0,,1,78.0,0.5
Blobfish,793.0,793.0,,1,78.0,0.5
Bloober Team,469.5,469.5,61.518289963229634,2,66.5,0.13102937159367334
Borealys Games,2843.0,2843.0,,1,75.0,0.5
Burgos Games,1994.0,1994.0,0.0,2,78.0,0.0
Butterscotch Shenanigans,1562.0,1562.0,,1,78.0,0.5
CI Games,1750.0,1750.0,,1,57.0,0.5
Cabbibo,2894.0,2894.0,,1,78.0,0.5
Capybara Games,3416.0,3416.0,,1,78.0,0.5
Chimera Entertainment,527.0,527.0,,1,78.0,0.5
Choice Provisions,2076.0,2076.0,,1,61.0,0.5
Chucklefish,434.0,434.0,,1,68.0,0.5
Cococucumber,1047.0,1047.0,,1,78.0,0.5
Codename Entertainment,2772.0,2772.0,,1,78.0,0.5
Cozy Game Pals,366.0,366.0,,1,78.0,0.5
Crunching Koalas,1883.0,1883.0,,1,78.0,0.5
Curve Digital,779.75,687.0,522.6856129644282,4,78.25,0.6703246078415238
Cyan Worlds,1787.0,1787.0,,1,76.0,0.5
Daedalic Entertainment,1247.3846153846155,974.0,886.4654099720547,13,77.0,0.7106592457842076
Darkseas Games,4055.0,4055.0,,1,67.0,0.5
Dear Villagers,1015.0,1015.0,,1,78.0,0.5
Deep Silver,1919.2727272727273,1186.0,1796.0376438654666,11,74.9090909090909,0.9357907390356258
Defiant Development,1263.0,1263.0,,1,81.0,0.5
Devolver Digital,855.3,790.5,562.9821489177076,10,80.5,0.6582276966183884
Digerati,1533.5,1533.5,1208.4454890478098,2,76.0,0.7880309677520768
DotEmu,1913.0,1913.0,,1,78.0,0.5
Double Damage Games,2124.0,2124.0,,1,72.0,0.5
Double Dash Studios,1530.5,1530.5,984.9997461928607,2,78.0,0.6435803634059855
Double Fine Productions,873.5,873.5,64.34671708797582,2,76.0,0.07366538876700152
Dovetail Games - TSW,343.0,343.0,,1,78.0,0.5
DrinkBox Studios,2515.5,2515.5,1068.4383463728734,2,85.5,0.42474193853026176
E-Line Media,2388.0,2388.0,971.5647173503163,2,71.0,0.4068528967128628
EHTechnology,1866.0,1866.0,,1,78.0,0.5
Electronic Arts,2235.3333333333335,2012.0,1661.1384650293305,9,78.22222222222223,0.7431278549191755
Eleon Game Studios,3354.0,3354.0,,1,78.0,0.5
Erabit,210.0,210.0,,1,78.0,0.5
Expansive Worlds,568.0,568.0,,1,78.0,0.5
FLARB,839.0,839.0,,1,78.0,0.5
Failbetter Games,2352.5,2352.5,198.69700551341987,2,84.0,0.08446206398019973
Fellow Traveller,2208.0,2208.0,381.8376618407357,2,79.0,0.17293372365975349
Feral Interactive,2811.6666666666665,2648.0,1128.4371197959297,3,76.66666666666667,0.4013410028912613
Finji,1221.5,1221.5,259.50818869546293,2,83.0,0.2124504205447916
Flazm,1551.0,1551.0,,1,78.0,0.5
Flight School Studio,567.0,567.0,,1,78.0,0.5
Focus Home Interactive,1185.0,1027.5,825.5744320514915,8,73.875,0.6966872844316384
Free Range Games,1454.0,1454.0,,1,78.0,0.5
Freedom Games,520.0,520.0,,1,78.0,0.5
Frictional Games,1806.4,1501.0,1236.8768329951047,5,79.2,0.6847192388148277
Frontier Developments,1105.75,1080.0,766.5234830062286,4,76.75,0.6932159014300056
Frontier Foundry,294.0,294.0,,1,78.0,0.5
Frozenbyte,2276.0,2276.0,,1,78.0,0.5
Funcom,1115.0,1115.0,,1,78.0,0.5
Funselektor Labs,1185.0,1185.0,,1,78.0,0.5
GBROSSOFT,450.0,450.0,,1,78.0,0.5
GHI Media,1460.0,1460.0,212.13203435596427,2,74.5,0.1452959139424413
Galactic Cafe,2345.0,2345.0,,1,88.0,0.5
Games Operators,2393.0,2393.0,,1,68.0,0.5
Games by Malcs,1276.0,1276.0,,1,78.0,0.5
Gearbox Software,2774.0,2774.0,,1,79.0,0.5
Giants Software,913.0,913.0,,1,78.0,0.5
Good Shepherd Entertainment,925.0,925.0,,1,78.0,0.5
Graffiti Games,924.0,924.0,,1,74.0,0.5
GrahamOfLegend,636.0,636.0,,1,78.0,0.5
Grey Alien Games,534.0,534.0,,1,78.0,0.5
Grindstone,332.0,332.0,,1,78.0,0.5
Harebrained Holdings,1834.0,1834.0,,1,78.0,0.5
Hatinh Interactive,777.5,777.5,60.10407640085654,2,78.0,0.07730427832907594
Headup Games,1159.6,938.0,906.2906818455103,5,74.4,0.7815545721330721
Hi-Rez Studios,1095.6666666666667,1556.0,919.4250014728408,3,78.0,0.8391466396162222
Hidden Path Entertainment,4609.0,4609.0,,1,81.0,0.5
Hinterland Studio,2280.0,2280.0,,1,76.0,0.5
Humble Bundle,1700.25,1771.0,644.9203439185338,4,79.75,0.3793091274333385
Humble Games,747.0,747.0,94.75230867899737,2,78.0,0.12684378671887198
HypeTrain Digital,672.5,672.5,91.21677477306463,2,78.0,0.1356383268000961
Hyperstrange,746.0,746.0,,1,78.0,0.5
INFORMATION SOLUTIONS GROUP,1017.0,1017.0,,1,78.0,0.5
Iceberg Interactive,1068.5,1068.5,340.1183617507294,2,75.5,0.3183138621906686
IndieArk,1053.0,1053.0,,1,78.0,0.5
Innersloth,1037.0,1037.0,,1,82.0,0.5
Introversion Software,2257.0,2257.0,,1,83.0,0.5
Irregular,1261.0,1261.0,41.012193308819754,2,78.0,0.032523547429674664
Jackbox Games,2358.5,2358.5,1380.9795436573272,2,77.5,0.5855329843787692
Jacob Janerka,1850.0,1850.0,,1,86.0,0.5
Kabam Games,1235.0,1235.0,,1,78.0,0.5
Kalypso Media,1482.0,1281.0,648.5363007059307,4,74.75,0.4376088398825443
Kasedo Games,1194.5,1194.5,922.7743494484445,2,70.0,0.7725193381736664
Kiss,3431.0,3431.0,,1,78.0,0.5
Koch Media,1997.0,1997.0,,1,72.0,0.5
Koei Tecmo Games,1426.5,1426.5,34.64823227814083,2,84.0,0.02428898161804475
Komi Games,1008.0,1008.0,,1,78.0,0.5
Konami,1424.3333333333333,1960.0,970.5464096751548,3,78.0,0.6814039852622197
Kongregate,820.0,791.0,261.7078523850593,3,68.0,0.31915591754275524
Krillbite Studio,2703.0,2703.0,,1,66.0,0.5
LEAP Game Studios,513.0,513.0,,1,78.0,0.5
LEGO® Games,1098.0,1098.0,,1,78.0,0.5
M2H,1765.5,1765.5,723.3702371538382,2,74.0,0.4097254246127659
Majesco Entertainment,2994.0,2994.0,,1,68.0,0.5
Maple Whispering,925.0,925.0,,1,78.0,0.5
Matt Makes Games,1533.5,1533.5,1181.575431362721,2,89.0,0.7705089216581161
Mega Cat Studios,449.0,449.0,,1,78.0,0.5
Mellowsoft,427.0,427.0,,1,78.0,0.5
Merge Games,2218.0,2218.0,1653.215654414148,2,69.5,0.7453632346321677
Meridian4,3766.0,3766.0,,1,84.0,0.5
Mi'pu'mi Games,1401.0,1401.0,,1,78.0,0.5
Microids,1199.0,1199.0,,1,79.0,0.5
Microsoft Studios,3204.625,3179.0,1203.039832792628,8,84.5,0.3754073667878856
MidBoss,2187.0,2187.0,,1,78.0,0.5
Midjiwan,3502.0,3502.0,,1,78.0,0.5
Midnight City,4039.0,4039.0,,1,74.0,0.5
Mighty Yell,961.0,961.0,,1,76.0,0.5
Milestone,1726.5,1726.5,762.9682169002848,2,76.0,0.4419161406894207
Mischief,680.0,680.0,,1,78.0,0.5
Misfits Attic,2473.0,2473.0,,1,83.0,0.5
Modus Games,254.33333333333334,219.0,106.49100118476365,3,75.0,0.41870642667665914
Mokuzai Studio,3632.0,3632.0,,1,78.0,0.5
Monomi Park,1148.0,1148.0,,1,81.0,0.5
Monstrum,1617.0,1617.0,,1,78.0,0.5
Moonlit,597.0,597.0,,1,78.0,0.5
Netflix,358.0,358.0,,1,78.0,0.5
Nexon,772.0,772.0,,1,78.0,0.5
Nicalis,2591.0,2078.0,2109.8063892215323,3,82.33333333333333,0.8142826666235169
Night School Studio,1162.0,1162.0,,1,80.0,0.5
Ninja Kiwi,1876.0,1876.0,,1,78.0,0.5
Nintendo,867.0,867.0,,1,70.0,0.5
