publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
101XP,758.0,758.0,,1,82.0,0.5
10tons,275.0,275.0,,1,72.0,0.5
11 bit studios,487.8,457.0,100.8151774287979,5,80.2,0.2066731804608403
13AM Games,12.0,12.0,,1,65.0,0.5
17-BIT,271.0,271.0,,1,78.0,0.5
1C Company,610.3333333333334,563.0,86.35006272918008,3,75.0,0.1414801683165157
1C Entertainment,198.5,198.5,72.8319984622144,2,76.0,0.36691183104390124
2K Games,576.95,395.5,469.11848744550446,20,77.95,0.8131007668697537
4EversGames,365.0,365.0,,1,75.0,0.5
5 Lives Studios,309.0,309.0,,1,75.0,0.5
505 Games,622.5294117647059,412.0,585.4224028049168,17,76.0,0.9403931633453262
8-4,432.0,432.0,248.90158697766472,2,79.5,0.5761610809668165
AGM PLAYISM,848.0,848.0,422.8498551495554,2,79.5,0.4986436971103248
AQUIRIS,565.0,565.0,,1,78.0,0.5
Abbey Games,213.0,213.0,,1,72.0,0.5
Abylight,458.0,458.0,,1,84.0,0.5
Abylight Studios,530.0,530.0,,1,76.0,0.5
Activision Blizzard,1281.857142857143,728.0,1419.5463393365535,7,81.28571428571429,1.107413838778098
Activison,854.0,854.0,,1,81.0,0.5
Adriaan de Jongh,594.0,594.0,,1,78.0,0.5
Adult Swim Games,399.6666666666667,317.0,154.57791994115246,3,75.66666666666667,0.38676710577435974
Aggro Crab,579.0,579.0,,1,79.0,0.5
Aksys Games,953.0,953.0,,1,82.0,0.5
Akupara Games,583.0,566.0,200.4145703286066,6,76.83333333333333,0.34376427157565453
Alawar,222.0,222.0,,1,76.0,0.5
Alawar Entertainment,191.0,191.0,,1,77.0,0.5
Alawar Premium,216.0,216.0,,1,76.0,0.5
Aldorlea Games,1120.0,1120.0,,1,76.0,0.5
All in! Games,380.5,417.5,281.3663092838231,4,74.0,0.739464676172991
Alliance Digital Media,271.0,271.0,,1,76.0,0.5
Almost Human Games,1300.0,1300.0,,1,82.0,0.5
Altered Matter,228.0,228.0,,1,69.0,0.5
Annapurna Interactive,979.5,979.5,376.8879143724298,2,85.5,0.38477581865485433
Another Indie,323.5,323.5,154.8563850798539,2,77.0,0.478690525749162
Another Indie Studio,396.0,396.0,,1,80.0,0.5
Arbitrary Metric,443.0,443.0,,1,76.0,0.5
Arcen Games,162.0,162.0,42.42640687119285,2,76.0,0.2618914004394621
Armor Games,486.0,486.0,,1,77.0,0.5
Aspyr,1952.25,336.5,3151.161951226427,8,74.125,1.614118043911603
Assemble Entertainment,387.14285714285717,296.0,231.21521617418736,7,74.71428571428571,0.5972348757266832
AtomTeam,291.0,291.0,,1,76.0,0.5
Atomic Elbow,927.0,927.0,,1,76.0,0.5
Auroch Digital,200.0,200.0,,1,76.0,0.5
AutoAttack Games,273.0,273.0,,1,76.0,0.5
Avalanche Studios,550.0,550.0,,1,51.0,0.5
Awe Interactive,412.0,412.0,,1,77.0,0.5
Awesome Games Studio,1527.0,1527.0,,1,77.0,0.5
Axol Studio,1656.0,1656.0,,1,76.0,0.5
BANDAI NAMCO Entertainment US,216.0,216.0,,1,75.0,0.5
Bad Yolk Games,350.0,350.0,,1,76.0,0.5
Bandai Namco Entertainment,797.5625,707.5,372.1153886901212,16,76.0,0.46656580354532873
Bankroll Studios,211.0,211.0,,1,76.0,0.5
Battlecruiser Games,1039.0,1039.0,,1,76.0,0.5
Beautiful Glitch,831.5,831.5,84.14570696119915,2,76.0,0.10119748281563337
Bedtime Digital Games,488.0,488.0,,1,74.0,0.5
Behold Studios,522.0,522.0,,1,76.0,0.5
Bethesda Softworks,684.25,460.0,535.1031275771588,8,78.125,0.7820286848040319
Big Sugar,480.0,480.0,,1,81.0,0.5
Bigben Interactive,589.0,589.0,11.313708498984761,2,65.0,0.019208333614575145
BitMonster,418.0,418.0,,1,76.0,0.5
Bithell Games,167.0,167.0,,1,80.0,0.5
Black Eye Games,379.0,379.0,,1,69.0,0.5
Black Shell Media,261.0,261.0,,1,76.0,0.5
BlankMediaGames,626.0,626.0,,1,76.0,0.5
BlitWorks,571.5,571.5,60.10407640085654,2,78.5,0.1051689875780517
Borealys Games,959.0,959.0,,1,75.0,0.5
Bossa Studios,213.0,213.0,,1,61.0,0.5
Brave At Night,457.0,457.0,,1,75.0,0.5
Brightrock Games,853.0,853.0,,1,65.0,0.5
Broken Rules,518.0,518.0,,1,76.0,0.5
Broken Spear,790.0,790.0,,1,76.0,0.5
Builder Studio,326.0,326.0,,1,76.0,0.5
Butterscotch Shenanigans,761.0,761.0,,1,82.0,0.5
CD PROJEKT RED,974.5,974.5,861.9631662664015,2,81.5,0.8845183850860969
CI Games,454.0,460.0,46.292547996410825,3,72.66666666666667,0.10196596474980357
Cantaloupe Kids,446.0,446.0,,1,76.0,0.5
Capcom,1713.7142857142858,1416.0,1053.1033052025673,7,80.42857142857143,0.6145150997347425
Cellar Door Games,396.0,396.0,,1,80.0,0.5
Chasing Rats Games,96.0,96.0,,1,65.0,0.5
Chucklefish,410.5,410.5,193.04015126392747,2,85.0,0.4702561541143178
Clever Plays,699.0,699.0,,1,73.0,0.5
Cococucumber,343.0,343.0,,1,66.0,0.5
Codemasters,309.0,309.0,,1,83.0,0.5
Coffee Stain Studios,1770.5294117647059,1770.0,153.52366171337357,17,73.0,0.08671059666857207
Cold Beam Games,260.0,260.0,,1,76.0,0.5
Coldwild Games,1493.0,1493.0,,1,76.0,0.5
Crate Entertainment,219.0,219.0,,1,83.0,0.5
Crema,921.5,921.5,474.4686501761734,2,73.0,0.5148873035010021
Crimson Cow,4009.3333333333335,4070.0,132.83197406247243,3,76.0,0.03313068857560835
Crunching Koalas,822.0,822.0,494.9747468305833,2,77.0,0.6021590594046026
Curve Digital,346.6,308.0,123.32900893319643,10,70.7,0.3558251844581547
Curve Games,232.75,235.0,160.70755012340481,4,73.5,0.6904728254496447
D-Pad Studio,458.0,458.0,,1,88.0,0.5
D3 Publisher,1063.0,1063.0,517.6021638285528,2,72.5,0.4869258361510374
DANGEN Entertainment,493.0,493.0,,1,73.0,0.5
DONTNOD Entertainment,366.0,366.0,,1,83.0,0.5
Daedalic Entertainment,458.2352941176471,335.0,386.4659638007862,17,74.17647058823529,0.8433788683714204
Dan & Gary Games,297.0,297.0,,1,76.0,0.5
Dan Fornace,248.0,248.0,,1,76.0,0.5
Daniel Mullins Games,473.0,473.0,,1,76.0,0.5
Dear Villagers,590.5,588.5,175.76770384312846,8,77.375,0.2976591089638077
Deck13,174.0,174.0,,1,82.0,0.5
Deep Silver,1196.6363636363637,803.0,1734.3593787175294,11,76.27272727272727,1.4493620881176648
Deli Interactive,1635.0,1635.0,,1,76.0,0.5
Denis Sinner,974.0,974.0,,1,82.0,0.5
Devolver Digital,474.625,380.5,331.18611771210675,24,76.54166666666667,0.6977848147739937
Digerati,688.0,723.0,172.18884981322105,3,78.33333333333333,0.25027449100758875
Digital Dreams,251.0,251.0,,1,66.0,0.5
Digixart,730.0,730.0,,1,79.0,0.5
Dionic Software,1053.0,1053.0,,1,76.0,0.5
Donkey Crew,660.0,660.0,,1,76.0,0.5
Door 407,179.0,179.0,,1,76.0,0.5
DotEmu,737.5,737.5,357.0889244992065,2,75.0,0.48418837220231387
Double Damage Games,397.0,397.0,,1,75.0,0.5
Double Fine Productions,1106.5,1106.5,1048.63935649965,2,76.5,0.9477084107543153
