publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
10tons,1442.4,1164.0,1173.1476368206083,10,70.4,0.8133303083892182
11 bit studios,1027.8,1004.0,479.28613583119636,5,79.4,0.46632237383848646
17-BIT,210.0,210.0,,1,82.0,0.5
1C-SoftClub,5234.0,5234.0,,1,53.0,0.5
24 Caret Games,2516.0,2516.0,1520.2795795510772,2,78.0,0.6042446659582977
2K Games,1210.2941176470588,647.0,1408.3847669457043,51,78.86274509803921,1.163671496382842
345 Games,3622.0,3622.0,,1,47.0,0.5
3909,1941.0,1941.0,,1,85.0,0.5
505 Games,1494.2727272727273,1127.0,1169.8371487285974,33,72.63636363636364,0.7828806130081263
8-4,1722.0,1722.0,1609.3750339805822,2,88.5,0.9345964192686308
989 Studios,6625.0,6483.0,2490.286730479043,6,83.0,0.37589233667608196
AGM PLAYISM,1822.8333333333333,2264.0,896.5082078077515,6,67.0,0.49182127154123706
AQUIRIS,412.0,412.0,,1,78.0,0.5
ARIKA,1434.0,1434.0,,1,74.0,0.5
ASCII Entertainment,9678.0,9678.0,,1,76.0,0.5
Accolade,1704.0,1704.0,0.0,2,39.0,0.0
Active Gaming Media,2343.0,2343.0,,1,62.0,0.5
Activision Blizzard,2871.75,942.0,3311.997775764149,16,75.625,1.1533029601337683
Activison,1470.0,1249.0,1234.4273976220716,3,63.333333333333336,0.8397465289946066
Adam Hunt,1027.5,1027.5,731.8555185280767,2,76.0,0.7122681445528727
Adult Swim Games,2252.0,2252.0,,1,59.0,0.5
Agetec,9160.0,9160.0,,1,76.0,0.5
Aggro Crab,395.0,395.0,,1,79.0,0.5
Aksys Games,2005.0625,1917.5,1496.468174012843,16,70.3125,0.746344901474564
Akupara Games,1704.0,1704.0,1206.32416870425,2,72.5,0.7079367187231514
Alawar Entertainment,908.0,908.0,,1,76.0,0.5
Alientrap,174.0,174.0,,1,78.0,0.5
All in! Games,536.0,536.0,65.05382386916237,2,81.0,0.12136907438276562
Amanita Design,2455.0,1400.0,1880.388523683337,3,85.0,0.7659423721724388
Analgesic Productions,2019.5,2019.5,2387.899600066971,2,75.0,1.1824211933978563
Angel VGD,207.0,207.0,63.63961030678928,2,76.0,0.30743773095067284
Angry Mob Games,1400.0,1400.0,,1,64.0,0.5
Annapurna Interactive,1049.4615384615386,1035.0,530.2984404063772,13,83.84615384615384,0.5053052646252952
Arc System Works,2090.8333333333335,1553.0,1216.4864843748437,6,73.0,0.5818189642287016
Armature,109.0,109.0,,1,70.0,0.5
Artifex Mundi,1882.3333333333333,2252.0,1569.4974779633555,3,70.66666666666667,0.8338042206286642
Artix Entertainment,463.0,463.0,,1,71.0,0.5
Asmodee Digital,2115.0,2115.0,,1,82.0,0.5
Aspyr,3100.1666666666665,2821.0,2900.7913690347787,6,75.66666666666667,0.9356888454496356
Asteroid Base,571.0,571.0,,1,80.0,0.5
Astragon Entertainment,1212.25,624.0,1220.7960176322115,4,69.75,1.007049715514301
Atari,3974.6,3530.0,2497.495405401179,5,64.2,0.6283639625122476
Atlus,1332.2857142857142,1052.0,1402.7061600451364,7,76.14285714285714,1.05285686471327
Atlus USA,265.5,265.5,30.405591591021544,2,73.0,0.11452200222606984
Autumn Games,1560.5,1560.5,2095.1573926557403,2,78.0,1.3426192839831723
Avalanche Studios,1645.0,1645.0,,1,51.0,0.5
Awesome Games Studio,1832.0,1832.0,128.69343417595164,2,62.5,0.07024750773796487
BANDAI NAMCO Entertainment US,4481.0,4481.0,5371.183109893015,2,74.5,1.1986572438948928
Bandai Namco Entertainment,1833.1636363636364,1308.0,1657.4113993819842,55,74.52727272727273,0.9041262692018679
Beam Team,2510.0,2510.0,280.0142853498728,2,75.0,0.11155947623500909
Beatshapers,1946.0,1946.0,472.34732983261375,2,66.5,0.24272730207225784
BeautiFun Games,1283.0,1283.0,,1,73.0,0.5
Bethesda Softworks,2818.757575757576,2068.0,2418.246575908656,33,78.48484848484848,0.8579122222877652
Better Than Life,465.0,465.0,,1,73.0,0.5
Bifrost Entertainment,312.0,312.0,,1,83.0,0.5
Big Fish Games,2940.75,2872.5,1768.4792666770697,4,64.25,0.6013701493418583
Big Sandwich Games,2814.5,2814.5,2001.819297539116,2,70.0,0.7112521931210218
Bigben Interactive,1097.9545454545455,928.5,879.7630891743487,22,65.4090909090909,0.8012745999517976
Bigbug Studio,5691.0,5691.0,,1,73.0,0.5
Binary Haze Interactive,1157.0,1157.0,,1,86.0,0.5
Black Forest Games,3530.0,3530.0,,1,80.0,0.5
Blazing Griffin,2112.0,2112.0,,1,76.0,0.5
Bloober Team,638.0,638.0,,1,74.0,0.5
Bohemia Interactive,4261.0,4261.0,,1,56.0,0.5
Bossa Studios,2496.0,2496.0,,1,61.0,0.5
Breakfall,1878.5,1878.5,1129.2495295549163,2,78.0,0.6011442797737111
Brøderbund,4230.0,4230.0,,1,56.0,0.5
Buka Entertainment,1179.0,1179.0,828.7291475506337,2,69.0,0.7029085220955332
BulkyPix,1299.0,1299.0,,1,76.0,0.5
Bungie,635.0,631.5,173.2801200368929,4,79.75,0.27288207879825654
CD PROJEKT RED,2522.0,2522.0,1213.3952365161156,2,88.5,0.4811242016320839
CI Games,1654.5,992.0,1327.8150688792687,8,63.75,0.8025476390929397
Capcom,3396.791044776119,3088.0,2396.7415034717537,67,78.05970149253731,0.7055899146807018
Capybara Games,319.5,319.5,75.66042558696059,2,78.0,0.2368088437776544
Cellar Door Games,204.0,204.0,,1,87.0,0.5
Cherry Pop Games,3287.0,3287.0,,1,81.0,0.5
Choice Provisions,220.0,220.0,,1,82.0,0.5
Chucklefish,3500.0,3500.0,,1,89.0,0.5
Cleril Calamity Studios,820.0,820.0,,1,75.0,0.5
Cloudhead Games,1760.0,1760.0,,1,83.0,0.5
Coatsink,1461.0,1461.0,,1,81.0,0.5
Codemasters,875.6666666666666,425.0,969.0687970073814,3,82.33333333333333,1.1066640239901577
Coffee Stain Studios,1773.5,1583.0,1203.9436587039002,4,71.75,0.6788517951530308
Creat Studios,289.3333333333333,323.0,217.46340688339575,3,76.0,0.7516016366937641
Creepy Jar,2188.0,2188.0,,1,78.0,0.5
Crema,822.0,822.0,,1,73.0,0.5
Crocodile Entertainment,3804.0,3804.0,,1,60.0,0.5
Croteam,2788.0,2788.0,,1,88.0,0.5
Crows Crows Crows,4110.0,4110.0,,1,90.0,0.5
Crunching Koalas,358.0,358.0,,1,72.0,0.5
Crytek,638.0,638.0,,1,69.0,0.5
Curve Digital,979.8181818181819,638.0,947.1410432687184,22,77.18181818181819,0.9666497936496475
Cyan Ventures,549.0,549.0,,1,83.0,0.5
Cygames,586.5,586.5,116.67261889578035,2,80.5,0.1989302964974942
D3 Publisher,2782.470588235294,3042.0,1509.107356918613,17,69.88235294117646,0.5423623751134502
DONTNOD Entertainment,340.5,340.5,422.14274836836887,2,79.5,1.2397731229614357
Daedalic Entertainment,2724.0,2724.0,193.74725804511402,2,77.0,0.07112601249820633
Dark Energy Digital,176.0,176.0,,1,64.0,0.5
Dear Villagers,580.0,580.0,,1,86.0,0.5
Deck13,2861.0,2861.0,,1,61.0,0.5
Deep Silver,1639.142857142857,1335.5,1187.7394715445002,42,69.0952380952381,0.7246101011688602
Devolver Digital,1148.7931034482758,731.0,880.9432193195114,29,77.65517241379311,0.7668423641082345
Die Gute Fabrik,118.0,118.0,,1,76.0,0.5
Different Tuna,3530.0,3530.0,,1,72.0,0.5
Digerati,669.3333333333334,970.0,532.940271825402,3,67.0,0.796225505715242
Digital Leisure,4078.0,4078.0,84.8528137423857,2,64.5,0.02080745800450851
Digixart,1127.0,1127.0,,1,79.0,0.5
Disney Interactive,4204.428571428572,4261.0,1387.2106390677868,21,70.38095238095238,0.3299403511085083
DotEmu,365.0,365.0,,1,86.0,0.5
Double Damage Games,1370.0,1370.0,1506.1374439273463,2,75.0,1.0993703970272601
Double Eleven,142.0,142.0,145.6639969244288,2,77.5,1.0258027952424564
Double Fine Productions,335.5,335.5,41.71930009000631,2,82.0,0.1243496276900337
Dovetail Games,520.0,520.0,,1,76.0,0.5
Dovetail Games - TSW,639.0,639.0,,1,77.0,0.5
Draw Distance,1163.0,1163.0,,1,72.0,0.5
DrinkBox Studios,1442.8333333333333,519.5,1670.6784749516187,6,81.5,1.1579150802483207
Drone Champions League,834.0,834.0,,1,66.0,0.5
E-Line Media,134.0,134.0,,1,70.0,0.5
EA SPORTS,491.0,491.0,,1,78.0,0.5
ECC GAMES,1202.0,1202.0,,1,55.0,0.5
Eidos Interactive,7510.333333333333,7975.0,1024.3536173281827,3,81.0,0.13639256366714964
Eko Software,379.0,379.0,,1,76.0,0.5
Electronic Arts,1595.2068965517242,790.0,2326.9131480457304,58,78.43103448275862,1.4586905015742457
Ember Lab,557.0,557.0,,1,76.0,0.5
Enhance,1019.0,1019.0,625.0823945689081,2,82.5,0.6134272763188499
Enhance Games,2057.0,2057.0,,1,89.0,0.5
EnjoyUp Games,1086.0,1086.0,,1,76.0,0.5
Epic Games Publishing,731.0,731.0,,1,89.0,0.5
EuroVideo Medien,2504.0,2504.0,,1,76.0,0.5
Evolved Games,2312.5,2312.5,2065.4589078459053,2,82.5,0.8931714196090401
Excalibur Games,561.0,561.0,408.7077195258245,2,78.0,0.7285342594043217
