publisher,pub_avg_days,pub_median_days,pub_std_days,pub_count,pub_avg_meta,pub_cv
10tons,1156.0,1156.0,,1,72.0,0.5
11 bit studios,767.0,396.0,882.9529998816472,5,82.6,1.1511773140569064
1C Company,11078.0,11078.0,,1,78.0,0.5
2K Games,1306.5483870967741,742.0,1108.2959844948064,31,81.61290322580645,0.8482624872068488
3D Realms,14791.0,14791.0,,1,78.0,0.5
4EversGames,2313.0,2313.0,,1,75.0,0.5
505 Games,1259.1904761904761,1124.0,860.1210739801471,21,77.14285714285714,0.6830746342541727
8-4,1399.0,1399.0,,1,92.0,0.5
A1 Games,16375.0,16375.0,,1,78.0,0.5
AGM PLAYISM,882.5,882.5,430.62802974260745,2,77.0,0.4879637730794419
AT-AT Games,214.0,214.0,,1,6.0,0.5
Abbey Games,2008.0,2008.0,,1,72.0,0.5
Abylight Studios,1765.0,1765.0,,1,81.0,0.5
Acclaim,15736.0,15736.0,,1,78.0,0.5
Activision Blizzard,11928.304347826086,14062.0,5178.449020785041,46,78.21739130434783,0.43413119499493696
Activison,6300.4,2618.0,6725.486844831385,5,78.0,1.0674698185561846
Adam McLellan,366.0,366.0,,1,80.0,0.5
Adult Swim Games,1013.7777777777778,700.0,821.8852988370363,9,73.77777777777777,0.8107154416410923
Akupara Games,548.0,548.0,,1,78.0,0.5
Alientrap,1794.5,1794.5,601.7478707897519,2,79.0,0.33532898901630087
Alliance,1461.0,1461.0,,1,74.0,0.5
Amanita Design,2511.0,2511.0,1872.4187565819777,2,82.5,0.7456864821115005
Annapurna Interactive,1332.8181818181818,915.0,876.2501718324303,11,82.0909090909091,0.6574416404172112
Another Indie,1155.0,1155.0,,1,67.0,0.5
Ant Workshop,1139.0,1139.0,,1,78.0,0.5
Anuman Interactive,13544.0,13544.0,,1,78.0,0.5
Application Systems Heidelberg,305.0,305.0,,1,74.0,0.5
Arc Games,275.0,275.0,,1,65.0,0.5
Arc System Works,953.6666666666666,638.0,737.0714574132778,3,79.0,0.7728816400698474
Archaic Entertainment,2649.0,2649.0,,1,80.0,0.5
Artworx Software,16222.0,16222.0,,1,78.0,0.5
Asmodee Digital,365.0,365.0,,1,60.0,0.5
Aspyr,1875.1,440.0,2173.040289548263,10,74.8,1.1588930134650222
Asteroid Base,512.0,512.0,,1,80.0,0.5
Astragon Entertainment,739.3333333333334,882.0,273.4983241874314,3,67.0,0.36992559628597577
Asymmetric,669.0,669.0,,1,87.0,0.5
Atari,8066.0,8066.0,,1,78.0,0.5
Atlus,3332.0,3332.0,,1,78.0,0.5
Avalanche Studios,1006.0,1006.0,,1,51.0,0.5
Awaken Realms Digital,638.0,638.0,,1,82.0,0.5
Axol Studio,468.0,468.0,,1,78.0,0.5
Bandai Namco Entertainment,1518.1944444444443,978.5,1595.3415544631268,36,78.16666666666667,1.0508150390755204
Beam Team,2922.0,2922.0,,1,75.0,0.5
Beamdog,4412.5,4412.5,258.0939751330898,2,78.0,0.058491552438094015
Bedtime Digital Games,122.0,122.0,,1,74.0,0.5
Behaviour Interactive,395.0,395.0,,1,68.0,0.5
Bethesda Softworks,3669.3333333333335,1872.5,3399.74893190659,36,81.38888888888889,0.926530413855357
